name,Cactus?,New?,Family,Subfamily,Tribe,Genus,Subgenus,Species group,Species subgroup,Species,Stock ID,NDSSC ID,genome source,genome accession,citation,read type,assm size,genome N50,sample type,sex,#,stage,material provider,location,GPS,country,collection date,original source,comments
Liriomyza trifolii,0,0,Agromyzidae,,,Liriomyza,,,,trifolii,,,NCBI GenBank,GCA_001014935.1,"Vicoso & Bachtrog 2015, PLOS Bio",Illumina,"69,698,627","2,213",,MF,,adult,,,,,2013,,
Cirrula hians,0,0,Ephydridae,Ephydrinae,,Cirrula,,,,hians,,,NCBI GenBank,GCA_001015075.1,"Vicoso & Bachtrog 2015, PLOS Bio",Illumina,"399,685,866","2,483",,MF,,adult,,,,,2013,,
Ephydra gracilis,0,0,Ephydridae,Hydrellinae,,Ephydra,,,,gracilis,,,NCBI GenBank,GCA_001014675.1,"Vicoso & Bachtrog 2015, PLOS Bio",Illumina,"410,872,512","11,309",,MF,,adult,,,,,2013,,
Diastata ussurica,0,1,Diastatidae,,,Diastata,,,,ussurica,Duss_MT91,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"624,732,742",991,,F,,adult,Masanori J. Toda,"Nametoko-Keikoku, Ehime",,Japan,2012-Oct-09,Masanori J. Toda,
Rhinoleucophenga cf bivisualis,0,0,Drosophilidae,Steganinae,Gitonini,Rhinoleucophenga,,,,cf bivisualis,,,NCBI SRA,SRR12717852,"Dias et al. 2020, BMC Evol Biol",Illumina,"341,946,970","4,721",,M,,,,,,,,,
Stegana nigrithorax,1,1,Drosophilidae,Steganinae,Steganini,Stegana,Steganina,,,nigrithorax,Snig_MT107,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"187,957,653","295,649",wild,M,1,adult,Masanori J. Toda,Tomakomai,,Japan,2008-Aug-4to8,Masanori J. Toda,
Leucophenga varia,0,0,Drosophilidae,Steganinae,Steganini,Leucophenga,,,,varia,nc01v,,NCBI GenBank,GCA_018903435.1,"Kim et al. 2021, eLife",ONT R9.4.1 only,"415,377,807","560,182",wild,M,1,adult,Daniel Matute,,,,,,
Leucophenga maculata,1,1,Drosophilidae,Steganinae,Steganini,Leucophenga,Leucophenga,,,maculata,Lmac-DO,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"354,844,425","1,242,416",wild,F,1,adult,Darren J. Obbard,"Hermitage of Braid, Edinburgh, Scotland","55.9207, -3.1978",United Kingdom,2020-Aug-15,Darren J. Obbard,
Leucophenga montana,1,1,Drosophilidae,Steganinae,Steganini,Leucophenga,Leucophenga,,,montana,Lmon_TW-CO22-6,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"402,073,277","821,592",wild,F,1,adult,Thomas Werner,"Flatiron Campground, CO",,USA,2022-Jul,Thomas Werner,
Phortica magna,0,1,Drosophilidae,Steganinae,Gitonini,Phortica,,,,magna,Pmag_MT84,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"147,860,748","227,811",wild,F,1,adult,Masanori J. Toda,"WAEF, Hirai, Wakayama Pref.",,Japan,2009-Oct-15,Masanori J. Toda,
Cacoxenus indagator,1,1,Drosophilidae,Steganinae,Gitonini,Cacoxenus,,,,indagator,CxInd_DO22-2,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"254,846,158","2,990,262",wild,F,1,adult,Darren J. Obbard,"Cherry Gardens Farm, East Sussex, England","51.0997, 0.1644",United Kingdom,2022-May-22,Darren J. Obbard,
Amiota minor,1,1,Drosophilidae,Steganinae,Gitonini,Amiota,,,,minor,Amin_TW22,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"263,985,115","1,366,163",wild,F,1,adult,Thomas Werner,"Huron Mountains, MI",,USA,2022-Aug,Thomas Werner,
Amiota albilabris,0,1,Drosophilidae,Steganinae,Gitonini,Amiota,,,,albilabris,Aalb_MT110,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"419,832,433",916,wild,M,1,adult,Masanori J. Toda,"TOEF, Tomakomai",,Japan,2008-Aug,Masanori J. Toda,
Amiota communis,1,1,Drosophilidae,Steganinae,Gitonini,Amiota,,,,communis,Acom-TW22,prev misID racheli,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"309,734,248","1,552,548",wild,M,1,adult,Thomas Werner,"Huron Mountains, MI",,USA,2022-Aug,Thomas Werner,
Amiota mariae,1,1,Drosophilidae,Steganinae,Gitonini,Amiota,,,,mariae,Amar-TW22,prev misID humeralis,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"288,403,237","3,640,199",wild,M,1,adult,Thomas Werner,"Huron Mountains, MI",,USA,2022-Aug,Thomas Werner,
Colocasiomyia kotana,0,1,Drosophilidae,Drosophilinae,Drosophilini,Colocasiomyia,,cristata,cristata,kotana,Ckot_MT6,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"405,334,735",598,wild,F,1,adult,Masanori J. Toda,"Kota Kinabalu, Sabah",,Malaysia,2008-Mar-9,Masanori J. Toda,
Colocasiomyia xenalocasiae,0,0,Drosophilidae,Drosophilinae,Drosophilini,Colocasiomyia,,cristata,cristata,xenalocasiae,E16801,,NCBI SRA,SRR12717853,"Dias et al. 2020, BMC Evol Biol",Illumina,"322,758,881","1,409",lab line,M,6,adult,,,,,,,
Chymomyza caudatula,1,1,Drosophilidae,Drosophilinae,Drosophilini,Chymomyza,,,,caudatula,Ccau_DO,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"239,808,143","4,699,727",wild,M,1,adult,Darren J. Obbard,"Penns in the Rocks, East Sussex, England","51.091064, 0.166797",United Kingdom,2021-Aug-07,Darren J. Obbard,
Chymomyza procnemis,1,1,Drosophilidae,Drosophilinae,Drosophilini,Chymomyza,,procnemis,,procnemis,2370.3,20000-2631.01,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"239,648,949","34,133,586",lab line,M,50,adult,Patrick M. O'Grady,"Oahu, HI",,USA,,,
Chymomyza amoena,1,1,Drosophilidae,Drosophilinae,Drosophilini,Chymomyza,,fuscimana,,amoena,TW-ChAmo,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"392,904,778","205,866",wild,F,1,adult,Thomas Werner,"Huron Mountains, MI",,USA,2021-Jun,Thomas Werner,
Chymomyza costata,1,0,Drosophilidae,Drosophilinae,Drosophilini,Chymomyza,,costata,,costata,Sapporo,,NCBI GenBank,GCA_018150985.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"315,184,827","8,126,076",lab line,M,50,adult,Vladimir Kostal,"Sapporo, Hokkaido",,Japan,1983,,
Chymomyza fuscimana,1,0,Drosophilidae,Drosophilinae,Drosophilini,Chymomyza,,,,fuscimana,,,NCBI GenBank,GCA_949987675.1,Darwin TOL,PB HiFi + HiC,"337,977,858","104,850,594",wild,M,1,adult,Darren J. Obbard,"Penns in the Rocks, East Sussex, England","51.091123, 0.167039",United Kingdom,2021-Aug-07,Darren J. Obbard,
Scaptodrosophila lebanonensis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Scaptodrosophila,,victoria,,lebanonensis,,"11010-0011.00,11010-0021.00",NCBI RefSeq,GCF_003285725.1,"Clark, Long labs",PB Sequel + Illumina,"247,077,949","7,854,782",lab line,,,adult,,,,,,,
Lissocephala sabroskyi,0,1,Drosophilidae,Drosophilinae,Drosophilini,Lissocephala,,,,sabroskyi,Lsab_MT150,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"304,811,095","6,920",wild,M,1,adult,Masanori J. Toda,"Bogor, West Java",,Indonesia,2008-Jun-17,,
Scaptodrosophila scaptomyzoidea,0,1,Drosophilidae,Drosophilinae,Drosophilini,Scaptodrosophila,,,,scaptomyzoidea,Ssca_MT71,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"337,464,884",450,wild,F,1,adult,Masanori J. Toda,Hamamoto TFW,,Guam,2012-Dec-2,,
Scaptodrosophila latifasciaeformis,1,1,Drosophilidae,Drosophilinae,Drosophilini,Scaptodrosophila,,latifasciaeformis,,latifasciaeformis,(Heed) H79.2,11030-0061.01,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"154,487,965","9,811,568",lab line,M,50,adult,Patrick M. O'Grady,"Barro Colorado Island, Canal Zone.",,Panama,1955,,
Hirtodrosophila duncani,1,1,Drosophilidae,Drosophilinae,Drosophilini,Hirtodrosophila,,,,duncani,Hdun_TW21,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"207,801,326","3,366,531",wild,F,1,adult,Thomas Werner,"Huron Mountains, MI",,United States,2021-Jun,Thomas Werner,
Collessia kirishimana,0,1,Drosophilidae,Drosophilinae,Drosophilini,Collessia,,,,kirishimana,Ckir_MT79,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"223,303,704",829,wild,M,1,adult,Masanori J. Toda,"Kamou-cho, Kagoshima Pref.",,Japan,2012-Dec-16,,
Lordiphosa mommai,1,0,Drosophilidae,Drosophilinae,Drosophilini,Lordiphosa,,,,mommai,MMSapporo052014LM,,NCBI GenBank,GCA_018904225.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"339,463,949","622,708",lab line,MF,50,adult,Artyom Kopp,"Sapporo, Hokkaido",,Japan,2019,Hideaki Watabe and Masanori J. Toda,
Lordiphosa collinella,1,1,Drosophilidae,Drosophilinae,Drosophilini,Lordiphosa,,fenestrarum,,collinella,UCKTSapporo052019LC,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"444,496,639","345,488",wild,F,1,adult,Artyom Kopp,"Sapporo, Hokkaido",,Japan,2019,Hideaki Watabe and Masanori J. Toda,
Lordiphosa andalusiaca,1,1,Drosophilidae,Drosophilinae,Drosophilini,Lordiphosa,,fenestrarum,,andalusiaca,Land_DO,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"256,791,629","882,951",F1 lab (wild),M,1,adult,Darren J. Obbard,"Edinburgh, Scotland","55.932157, -3.194994",United Kingdom,2021-Aug-20,Darren J. Obbard,
Lordiphosa fenestrarum,1,1,Drosophilidae,Drosophilinae,Drosophilini,Lordiphosa,,fenestrarum,,fenestrarum,Lfen_DO,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1,"292,263,876","366,076",F1 lab (wild),M,1,adult,Darren J. Obbard,"Edinburgh, Scotland","55.932157, -3.194994",United Kingdom,2021-Aug-20,Darren J. Obbard,
Lordiphosa magnipectinata,1,1,Drosophilidae,Drosophilinae,Drosophilini,Lordiphosa,,miki,,magnipectinata,UCKTSapporo052019LM,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"493,136,655","304,656",wild,F,1,adult,Artyom Kopp,"Sapporo, Hokkaido",,Japan,2019,Hideaki Watabe and Masanori J. Toda,
Lordiphosa stackelbergi,0,0,Drosophilidae,Drosophilinae,Drosophilini,Lordiphosa,,miki,,stackelbergi,UCILTSSapporo052019LS,,NCBI GenBank,GCA_018904235.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"307,819,360","85,869",wild,MF,50,adult,Artyom Kopp,"Sapporo, Hokkaido",,Japan,2019,Hideaki Watabe and Masanori J. Toda,
Lordiphosa clarofinis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Lordiphosa,,miki,,clarofinis,Guizhou062018LC,,NCBI GenBank,GCA_018904275.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"398,719,931","1,678,281",F2 inbred,MF,25,adult,Artyom Kopp,"Longhua Town, Pingshan County, Sichuan",,China,2019,Jian-Jun Gao,
Drosophila sturtevanti,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,saltans,sturtevanti,sturtevanti,H191.23,14043-0871.01,NCBI GenBank,GCA_018150375.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"172,592,868","3,949,872",lab line,F,,adult,,Bucamaranga,,Colombia,1956,,
Drosophila emarginata,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,saltans,elliptica,emarginata,(McAllister) mx10-28,14042-0841.09,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"168,107,943","6,746,666",lab line,F,50,adult,Zee Syed/DEP,"Coscomatepec, Veracruz",,Mexico,2005,,
Drosophila neocordata,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,saltans,cordata,neocordata,2536.7,14041-0831.00,NCBI GenBank,GCA_018903615.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"194,830,689","6,033,383",lab line,M,,adult,,Minas Gerais,,Brazil,1959,,
Drosophila saltans,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,saltans,saltans,saltans,(Heed) H180.40,14045-0911.00,NCBI GenBank,GCA_018903575.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"249,306,946","2,961,640",lab line,M,,adult,,,,Costa Rica,1956,,
Drosophila austrosaltans,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,saltans,saltans,austrosaltans,(BGS) 2536.4,14045-0881.00,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"219,605,609","11,510,071",lab line,F,50,adult,Zee Syed/DEP,Pirassununga.,,Brazil,1959,,
Drosophila prosaltans,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,saltans,saltans,prosaltans,(Heed) H29.6,14045-0901.02,NCBI GenBank,GCA_018151275.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"214,135,114","2,707,258",lab line,M,,adult,,,,El Salvador,1953,,
Drosophila sucinea,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,willistoni,bocainensis,sucinea,49.15,14030-0791.01,NCBI GenBank,GCA_018150745.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"184,689,537","8,149,606",lab line,M,,adult,,Monte Ceyuca,,Honduras,1954,,
Drosophila nebulosa,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,willistoni,bocainensis,nebulosa,,14030-0761.06,NCBI GenBank,GCA_024703675.1,"Sottolano et al. 2022, G3",PB Sequel + Illumina,"176,642,184","20,901,532",lab line,MF,,adult,,Sinaloa,,Mexico,2004,,
Drosophila insularis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,willistoni,willistoni,insularis,isof from J. Powell,,NCBI GenBank,GCA_018903935.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"212,411,654","6,295,961",lab line,M,,adult,,St. Lucia,,St. Lucia,,Jeffrey R. Powell,
Drosophila tropicalis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,willistoni,willistoni,tropicalis,(Heed) H65.2,14030-0801.00,NCBI GenBank,GCA_018151085.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"211,041,385","5,082,839",lab line,MF,,adult,,,,El Salvador,1955,,
Drosophila willistoni,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,willistoni,willistoni,willistoni,,14030-0811.24,NCBI RefSeq,GCF_018902025.1,"Ranz et al. 2023, Mol. Ecol.",PB RS + Illumina,"246,985,538","9,374,611",lab line,MF,,adult,,Guadeloupe Island,,France,2016-Aug,,
Drosophila paulistorum,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,willistoni,willistoni,paulistorum,(Heed) H66.1C,14030-0771.06,NCBI GenBank,GCA_018152135.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"321,171,226","16,514,525",lab line,M,,adult,,,,El Salvador,1955,,
Drosophila equinoxialis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,willistoni,willistoni,equinoxialis,,14030-0741.00,NCBI GenBank,GCA_018150345.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"221,733,993","6,639,417",lab line,M,,adult,,,,Honduras,,,
Drosophila guanche,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,obscura,guanche,GI_16,,NCBI RefSeq,GCF_900245975.1,"Puerma et al. 2018, GBE",Illumina,"140,632,981","7,251,133",lab line,MF,,adult,,"Barranco del Infierno, Tenerife, Canary Islands",,Spain,2003,,
Drosophila subobscura,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,obscura,subobscura,(Reed) EUG-04,14011-0131.10,NCBI RefSeq,GCF_008121235.1,"Bracewell et al. 2019, eLife",ONT R9.4.1 + Illumina,"126,248,017","24,182,865",lab line,F,100,adult,,"Eugene, OR",,USA,2006,,
