method,coverage,QV(genome),QV(CDS),QV(introns),QV(intergenic)
ONT R10.4.1 only,20,41.1,51.3,45.3,37.2
ONT R10.4.1 only,25,42.1,54.6,46.6,38.1
ONT R10.4.1 only,30,43.0,56.0,47.3,39.0
ONT R10.4.1 only,35,43.0,56.0,47.5,39.0
ONT R10.4.1 only,40,43.5,57.5,47.5,39.5
ONT R10.4.1 only,45,43.4,57.1,48.0,39.3
ONT R10.4.1 only,50,43.8,56.6,48.1,39.7
ONT R10.4.1 only,55,43.5,56.3,48.1,39.5
ONT R10.4.1 only,60,43.8,57.2,48.4,39.8
ONT R10.4.1 + Illumina,20,42.5,58.4,48.3,38.1
ONT R10.4.1 + Illumina,25,43.2,58.6,48.9,39.0
ONT R10.4.1 + Illumina,30,44.1,58.7,49.2,39.9
ONT R10.4.1 + Illumina,35,44.0,58.4,49.2,39.8
ONT R10.4.1 + Illumina,40,44.5,59.6,48.9,40.4
ONT R10.4.1 + Illumina,45,44.3,59.3,49.4,40.2
ONT R10.4.1 + Illumina,50,44.7,58.3,49.6,40.6
ONT R10.4.1 + Illumina,55,44.5,57.8,49.6,40.3
ONT R10.4.1 + Illumina,60,44.8,59.1,49.8,40.7
