Company,Item,Cat #
Eppendorf,1.5 mL LoBind Microcentrifuge Tube,22431021
New England BioLabs,Monarch RNase A (20mg/mL),T3018L
Thermo Fisher Scientific,Protienase K Solution (20mg/mL),100005393
New England BioLabs,Monarch Pestle Set,T3000L
Quantabio,5PRIME Phase Lock Gel,2302820
Fisher Bioreagents,Phenol:Chloroform:Isoamyl Alcohol ,BP1752I-400
EMD Millipore,Chloroform,CX1055-6
Invitrogen by Thermo Fisher Scientific,Nuclease free water,AM9938
New England BioLabs,NEBNext® Companion Module for Oxford Nanopore Technologies® Ligation Sequencing,E7180S
Olympus Plastics (Genesee Scientific),PCR Tube Strip,27-125
Oxford Nanopore Technologies,Ligation Sequencing Kit V14,SQK-LSK114
Oxford Nanopore Technologies,Ligation Sequencing Kit V10,SQK-LSK110
Fisher Scientific,Large Orifice Pipet Tips,02-707-134
Thermo Fisher Scientific,Qubit Tubes,Q32856
Invitrogen by Thermo Fisher Scientific,Qubit DNA HS ,Q32854
Invitrogen by Thermo Fisher Scientific,Qubit,Q32857
Supplied by user,10mM Tris,
Supplied by user,Hydration Buffer (STE),
Supplied by user,Lysis Buffer,
Supplied by user,10% SDS,
Supplied by user,3M Sodium Acetate,
