INFO,,,,sample details,,,,,,,sequencing details,,,genome stats,,,,,,,
Genus,Species,strain/sample ID,,"NCBI
BioSample",sex,stage,"sample
type","material
provider","collection
date","geographic
origin",nanopore,guppy model,Illumina,size (bp),"count
frags",N50 (bp),L50,"QV
(yak)","eQV
(yak)","QV
(PMD)",BUSCO v5 (diptera_odb10)
Amiota,albilabris,Aalb_MT110,A.albilabris,SAMN37596579,male,adult,single fly,Masanori J. Toda,2008-08-08,Japan: Tomakomai,-,-,"NovaSeq X Plus, 2x150","387,615,139","895,413",842,"80,801",-,-,-,"C:41.8%[S:41.1%,D:0.7%],F:28.9%,M:29.3%,n:3285"
Amiota,communis,Acom_TW22,A.communis,SAMN37596569,male,adult,single fly,Thomas Werner,2022-08,"United States: Huron Mountains, MI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","309,734,248",1821,"1,552,548",46,42.805,43.534,-,"C:98.0%[S:96.8%,D:1.2%],F:0.9%,M:1.1%,n:3285"
Amiota,mariae,Amar_TW22,A.mariae,SAMN37596568,male,adult,single fly,Thomas Werner,2022-08,"United States: Huron Mountains, MI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","288,403,237",1095,"3,640,199",16,37.847,37.847,-,"C:97.6%[S:96.4%,D:1.2%],F:1.0%,M:1.4%,n:3285"
Amiota,minor,Amin_TW22,A.minor,SAMN37596516,female,adult,single fly,Thomas Werner,2022-08,"USA: Huron Mountains, MI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","263,985,115",2816,"1,366,163",39,33.908,33.92,-,"C:96.8%[S:95.6%,D:1.2%],F:1.5%,M:1.7%,n:3285"
Chymomyza,amoena,Camo_TW21,C.amoena,SAMN37596463,female,adult,single fly,Thomas Werner,2021-06,"USA: Huron Mountains, MI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","392,904,778",4860,"205,866",526,29.641,29.817,-,"C:96.0%[S:94.4%,D:1.6%],F:3.6%,M:0.4%,n:3285"
Chymomyza,caudatula,Ccau_DO,C.caudatula,SAMN37596574,male,adult,single fly,Darren J. Obbard,2021-08-07,"United Kingdom: Penns in the Rocks, East Sussex, England","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","239,808,143",224,"4,699,727",15,44.668,44.668,-,"C:99.2%[S:98.2%,D:1.0%],F:0.6%,M:0.2%,n:3285"
Cacoxenus,indagator,CxInd_DO22-1,C.indagator,SAMN37596490,female,adult,single fly,Darren J. Obbard,2022-05-22,"United Kingdom: Cherry Gardens Farm, East Sussex, England","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","247,184,103",2993,"2,136,820",23,34.609,46.144,-,"C:97.4%[S:96.1%,D:1.3%],F:1.2%,M:1.4%,n:3285"
Cacoxenus,indagator,CxInd_DO22-2,C.indagator,SAMN37596573,female,adult,single fly,Darren J. Obbard,2022-05-22,"United Kingdom: Cherry Gardens Farm, East Sussex, England","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","254,846,158",1168,"2,990,262",22,40.794,40.794,-,"C:97.7%[S:96.3%,D:1.4%],F:1.2%,M:1.1%,n:3285"
Collessia,kirishimana,Ckir_MT79,C.kirishimana,SAMN37596588,male,adult,single fly,Masanori J. Toda,2012-12-16,"Japan: Kamou-cho, Kagoshima Pref.",-,-,"NovaSeq X Plus, 2x150","222,603,554","678,676",834,"44,191",-,-,-,"C:66.5%[S:66.0%,D:0.5%],F:18.6%,M:14.9%,n:3285"
Colocasiomyia,kotana,Ckot_MT6,C.kotana,SAMN37596582,female,adult,single fly,Masanori J. Toda,2008-03-09,"Malaysia: Kota Kinabalu, Sabah",-,-,"NovaSeq X Plus, 2x150","388,575,637","1,160,021",572,"138,963",-,-,-,"C:35.4%[S:34.9%,D:0.5%],F:32.0%,M:32.6%,n:3285"
Chymomyza,procnemis,20000-2631.01,C.procnemis,SAMN37596415,male,adult,lab strain,Patrick M. O'Grady,missing,"USA: Oahu, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","239,648,949",42,"34,133,586",3,39.1,44.4,-,"C:99.2%[S:98.3%,D:0.9%],F:0.6%,M:0.2%,n:3285"
Drosophila,acutilabella,acutilabella_AK,D.acutilabella,SAMN37596425,male,adult,lab strain,Artyom Kopp,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","159,932,574",121,"11,349,356",4,35.095,35.033,-,"C:99.2%[S:98.8%,D:0.4%],F:0.4%,M:0.4%,n:3285"
Drosophila,affinis,14012-0141.00,D.affinis,SAMN37596410,male,adult,lab strain,Patrick M. O'Grady,missing,"USA: Cristal Lake, Hastings, NE","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","183,069,186",106,"6,659,275",7,38.085,38.085,-,"C:99.4%[S:98.4%,D:1.0%],F:0.6%,M:0.0%,n:3285"
Drosophila,aldrichi,15081-1251.22,D.aldrichi,SAMN37596441,female,adult,lab strain,Scott Pitnick,missing,"Mexico: Huatulco, Oaxaca","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","166,412,147",665,"4,726,648",10,35.799,35.652,-,"C:99.4%[S:98.5%,D:0.9%],F:0.6%,M:0.0%,n:3285"
Drosophila,algonquin,Dalg_TW21,D.algonquin,SAMN37596462,female,adult,single fly,Thomas Werner,2021-06,"USA: Huron Mountains, MI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","169,381,220",3608,"1,517,147",31,32.634,41.51,-,"C:98.5%[S:97.4%,D:1.1%],F:1.0%,M:0.5%,n:3285"
Drosophila,anceps,15081-1261.02,D.anceps,SAMN37596442,female,adult,lab strain,Scott Pitnick,1992,Mexico: Oaxaca,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","158,399,901",255,"9,990,161",5,42.111,42.004,-,"C:99.7%[S:99.3%,D:0.4%],F:0.2%,M:0.1%,n:3285"
Drosophila,anomalata,14024-0461.00,D.anomalata,SAMN37596502,male,adult,lab strain,Jan Hrcek,2014,"Australia: Townsville, Queensland","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","173,872,104",2388,"607,592",54,38.285,38.54,-,"C:99.3%[S:98.7%,D:0.6%],F:0.3%,M:0.4%,n:3285"
Drosophila,anomalipes,Danp_SHC-C171,D.anomalipes,SAMN37596563,male,adult,single fly,Samuel H. Church,2022-11-01,"USA: Na Pali Kona Forest Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","146,409,276",259,"18,304,052",3,43.138,43.423,-,"C:99.6%[S:99.0%,D:0.6%],F:0.4%,M:0.0%,n:3285"
Drosophila,anomelani,Dano_JD,D.anomelani,SAMN37596446,female,adult,lab strain,Scott Pitnick,missing,India,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","170,599,943",183,"20,764,017",4,40.099,39.793,-,"C:99.5%[S:99.1%,D:0.4%],F:0.5%,M:0.0%,n:3285"
Drosophila,atripex,V251,D.atripex,SAMN37596429,male,adult,lab strain,Artyom Kopp,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","173,038,784",78,"14,577,270",5,35.605,35.306,-,"C:99.7%[S:99.3%,D:0.4%],F:0.3%,M:0.0%,n:3285"
Drosophila,atroscutellata,Dasc_SHC-C168,D.atroscutellata,SAMN37596559,male,adult,single fly,Samuel H. Church,2022-11-01,"USA: Koke'e State Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","132,412,710",161,"22,232,325",3,47.214,49.441,-,"C:99.0%[S:98.1%,D:0.9%],F:0.8%,M:0.2%,n:3285"
Drosophila,austrosaltans,14045-0881.00,D.austrosaltans,SAMN37596435,female,adult,lab strain,Scott Pitnick,1959,Brazil: Pirassununga,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","219,605,609",287,"11,510,071",7,38.133,37.362,-,"C:99.5%[S:98.7%,D:0.8%],F:0.3%,M:0.2%,n:3285"
Drosophila,basisetae,Dbas_SHC-C021,D.basisetae,SAMN37596551,female,adult,single fly,Samuel H. Church,2022-10-05,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","135,396,141",179,"9,679,735",5,45.705,48.71,-,"C:99.4%[S:99.1%,D:0.3%],F:0.4%,M:0.2%,n:3285"
Drosophila,biarmipes,14023-0361.09,D.biarmipes,SAMN37596500,male,adult,lab strain,Artyom Kopp,1971,India: Mysore,"R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","184,935,894",197,"9,749,102",6,38.567,38.522,-,"C:99.7%[S:99.3%,D:0.4%],F:0.2%,M:0.1%,n:3285"
Drosophila,birchii,DM11,D.birchii,SAMN37596503,female,adult,lab strain,Jan Hrcek,2022,"Australia: Dinden, Queensland","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","161,964,435",169,"20,240,225",4,33.859,34.739,-,"C:99.7%[S:99.1%,D:0.6%],F:0.2%,M:0.1%,n:3285"
Drosophila,borealis,15010-0961.00,D.borealis,SAMN37596413,male,adult,lab strain,Patrick M. O'Grady,1950,"USA: Itasca Park, Minnesota","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","214,704,267",432,"1,953,869",22,28.772,28.772,-,"C:99.5%[S:99.0%,D:0.5%],F:0.4%,M:0.1%,n:3285"
Drosophila,bunnanda,KLE 127,D.bunnanda,SAMN37596507,female,adult,lab strain,Jan Hrcek,2017,"Australia: Kirrama, Queensland","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","157,914,859",178,"20,724,371",4,36.107,36.107,-,"C:99.7%[S:99.2%,D:0.5%],F:0.3%,M:0.0%,n:3285"
Drosophila,buzzatii,15081-1291.02,D.buzzatii,SAMN37596443,female,adult,lab strain,Scott Pitnick,1958,Argentina: Cordoba,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","177,128,224",763,"3,125,169",12,34.52,34.279,-,"C:99.3%[S:98.8%,D:0.5%],F:0.6%,M:0.1%,n:3285"
Drosophila,cognata,Dcog_SHC-C074,D.cognata,SAMN37596528,male,adult,single fly,Samuel H. Church,2022-10-13,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","137,070,401",878,"10,361,167",5,44.374,48.775,-,"C:98.9%[S:98.0%,D:0.9%],F:0.9%,M:0.2%,n:3285"
Drosophila,colorata,Dcol_TW22-3,D.colorata,SAMN37596489,female,adult,single fly,Thomas Werner,2022-05,"USA: Houghton, MI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","186,555,170",699,"6,196,978",9,33.131,33.131,-,"C:99.6%[S:99.1%,D:0.5%],F:0.3%,M:0.1%,n:3285"
Drosophila,conformis,Dcnf_SHC-C065,D.conformis,SAMN37596537,male,adult,single fly,Samuel H. Church,2022-10-05,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","139,250,349",1502,"3,227,644",12,41.953,49.758,-,"C:98.5%[S:97.3%,D:1.2%],F:1.3%,M:0.2%,n:3285"
Drosophila,cracens,Dcrc_SHC-C082,D.cracens,SAMN37596534,male,adult,single fly,Samuel H. Church,2022-10-18,"USA: Upper Waikea Forest Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","138,340,014",1240,"3,411,203",12,43.164,43.137,-,"C:98.9%[S:97.8%,D:1.1%],F:1.0%,M:0.1%,n:3285"
Drosophila,crucigera,Dcru_DKP,D.crucigera,SAMN37596483,female,adult,single fly,Donald K. Price,2021-Dec,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","135,589,843",44,"24,464,972",3,39.465,41.128,-,"C:99.4%[S:98.9%,D:0.5%],F:0.5%,M:0.1%,n:3285"
Drosophila,cyrtoloma,Dcyr_DKP,D.cyrtoloma,SAMN37596474,male,adult,single fly,Donald K. Price,2011-05,"USA: Waihai Rim, Maui, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","150,412,458",1459,"10,811,970",5,32.824,32.74,-,"C:99.6%[S:99.1%,D:0.5%],F:0.4%,M:0.0%,n:3285"
Drosophila,demipolita,Ddem_SHC-C151,D.demipolita,SAMN37596542,male,adult,single fly,Samuel H. Church,2022-10-25,"USA: Upper Waikea Forest Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","132,248,857",501,"4,076,986",11,43.217,43.217,-,"C:99.1%[S:98.4%,D:0.7%],F:0.7%,M:0.2%,n:3285"
Drosophila,differens,Ddif_DKP,D.differens,SAMN37596476,male,adult,single fly,Donald K. Price,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","140,494,658",393,"3,269,494",15,34.142,33.81,-,"C:99.3%[S:98.8%,D:0.5%],F:0.4%,M:0.3%,n:3285"
Drosophila,dives,Ddiv_SHC-C142,D.dives,SAMN37596546,male,adult,single fly,Samuel H. Church,2022-10-25,"USA: Pu'u Maka'ala Natural Area Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","136,012,669",480,"4,877,032",9,44.025,45.001,-,"C:99.4%[S:98.7%,D:0.7%],F:0.6%,M:0.0%,n:3285"
Drosophila,emarginata,14042-0841.09,D.emarginata,SAMN37596449,female,adult,lab strain,Scott Pitnick,2005,"Mexico: Coscomatepec, Veracruz","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","168,107,943",346,"6,746,666",7,43.239,43.151,-,"C:99.4%[S:98.8%,D:0.6%],F:0.4%,M:0.2%,n:3285"
Drosophila,engyochracea,Deng_DKP,D.engyochracea,SAMN37596481,female,adult,single fly,Donald K. Price,missing,"USA: Hawaii, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","135,441,041",173,"15,871,817",4,37.225,44.465,-,"C:99.4%[S:98.9%,D:0.5%],F:0.5%,M:0.1%,n:3285"
Drosophila,eohydei,15085-1631.01,D.eohydei,SAMN37596452,female,adult,lab strain,Scott Pitnick,missing,Colombia: Bucaramanga,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","145,685,441",125,"14,192,769",4,41.384,41.145,-,"C:99.7%[S:99.2%,D:0.5%],F:0.2%,M:0.1%,n:3285"
Drosophila,ezoana,Dezo_MK-OJ8,D.ezoana,SAMN37596421,male,adult,lab strain,Maaria Kankare,2008,Finland: Oulanka Research Station,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","179,618,705",216,"11,561,277",6,33.017,33.58,-,"C:99.6%[S:99.1%,D:0.5%],F:0.3%,M:0.1%,n:3285"
Drosophila,falleni,D.falleni_G1#5,D.falleni,SAMN37596439,female,adult,lab strain,Scott Pitnick,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","168,337,960",197,"8,746,158",5,30.959,30.959,-,"C:99.4%[S:98.9%,D:0.5%],F:0.4%,M:0.2%,n:3285"
Drosophila,flavopinicola,Dfpi_TW22,D.flavopinicola,SAMN37596494,female,adult,single fly,Thomas Werner,2022-07,"USA: Olympic Peninsula, WA","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","172,437,340",529,"1,548,285",22,34.354,35.885,-,"C:98.9%[S:97.7%,D:1.2%],F:0.6%,M:0.5%,n:3285"
Drosophila,formosana,15111-1721.00,D.formosana,SAMN37596454,female,adult,lab strain,Scott Pitnick,1962,Malaysia: Kuala Lumpur,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","167,892,719",988,"5,886,833",6,39.539,39.062,-,"C:99.3%[S:98.9%,D:0.4%],F:0.5%,M:0.2%,n:3285"
Drosophila,fulvimacula,15084-1571.04,D.fulvimacula,SAMN37596447,female,adult,lab strain,Scott Pitnick,1960,"Colombia: Amazon, Leticia","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","161,239,790",240,"9,663,037",6,42.53,42.272,-,"C:99.6%[S:99.0%,D:0.6%],F:0.3%,M:0.1%,n:3285"
Drosophila,fungiperda,Dfug_SHC-C036,D.fungiperda,SAMN37596545,male,adult,single fly,Samuel H. Church,2022-10-12,"USA: Upper Waikea Forest Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","132,210,884",315,"6,143,944",8,48.18,47.84,-,"C:99.2%[S:98.5%,D:0.7%],F:0.7%,M:0.1%,n:3285"
Drosophila,gaucha,15070-1231.03,D.gaucha,SAMN37596411,male,adult,lab strain,Patrick M. O'Grady,missing,Brazil: Campos do Jordan,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","171,837,204",469,"3,971,267",12,33.284,33.284,-,"C:97.6%[S:97.2%,D:0.4%],F:0.3%,M:2.1%,n:3285"
Drosophila,glabriapex,Dgla_SHC-C181,D.glabriapex,SAMN37596564,female,adult,single fly,Samuel H. Church,2022-11-01,"USA: Na Pali Kona Forest Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","135,524,161",71,"15,143,833",4,48.644,49.654,-,"C:99.2%[S:98.6%,D:0.6%],F:0.7%,M:0.1%,n:3285"
Drosophila,gunungcola,gunungcola_AK-MK,D.gunungcola,SAMN37596422,male,adult,lab strain,Artyom Kopp,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","197,111,348",105,"19,456,094",4,40.754,40.899,-,"C:99.7%[S:99.4%,D:0.3%],F:0.2%,M:0.1%,n:3285"
Drosophila,hamatofila,15081-1301.08,D.hamatofila,SAMN37596456,female,adult,lab strain,Scott Pitnick,2007,"USA: Catalina Island, California","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","172,312,378",84,"25,679,874",3,44.603,44.495,-,"C:99.7%[S:99.2%,D:0.5%],F:0.3%,M:0.0%,n:3285"
Drosophila,hawaiiensis,Dhaw_DKP,D.hawaiiensis,SAMN37596480,male,adult,single fly,Donald K. Price,2009-12-29,"USA: Kukuiopae, Hawaii, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","135,035,390",258,"3,222,401",13,30.24,30.24,-,"C:99.1%[S:98.7%,D:0.4%],F:0.5%,M:0.4%,n:3285"
Drosophila,helvetica,Dhel_DO21,D.helvetica,SAMN37596464,male,adult,single fly,Darren J. Obbard,2021-8,"United Kingdom: Penns in the Rocks, East Sussex, England","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","184,306,181",5671,"792,072",47,34.724,35.929,-,"C:97.7%[S:96.4%,D:1.3%],F:0.8%,M:1.5%,n:3285"
Drosophila,heteroneura,Dhet_DKP,D.heteroneura,SAMN37596511,female,adult,single fly,Donald K. Price,missing,"USA: Hawaii, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,-,"138,255,615",1361,"998,678",41,-,-,48.908,"C:98.4%[S:98.0%,D:0.4%],F:0.4%,M:1.2%,n:3285"
Drosophila,histrio,Dhis_DO,D.histrio,SAMN37596491,male,adult,single fly,Darren J. Obbard,2021-09-04,"United Kingdom: Penns in the Rocks, East Sussex, England","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","221,193,384",1618,"966,229",55,24.55,24.55,-,"C:98.3%[S:96.8%,D:1.5%],F:0.9%,M:0.8%,n:3285"
Drosophila,imparisetae,Dimp_SHC-C096,D.imparisetae,SAMN37596531,male,adult,single fly,Samuel H. Church,2022-10-13,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","136,547,435",799,"5,632,516",7,44.57,44.085,-,"C:98.9%[S:97.9%,D:1.0%],F:1.0%,M:0.1%,n:3285"
Drosophila,incognita,Dicg_SHC-C104,D.incognita,SAMN37596538,male,adult,single fly,Samuel H. Church,2022-10-13,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","139,501,700",730,"4,863,250",9,40.348,40.348,-,"C:98.8%[S:97.4%,D:1.4%],F:1.1%,M:0.1%,n:3285"
Drosophila,infuscata,Dinf_SHC-C099,D.infuscata,SAMN37596547,male,adult,single fly,Samuel H. Church,2022-10-13,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","154,366,779",1005,"3,594,937",14,42.405,45.057,-,"C:99.2%[S:98.3%,D:0.9%],F:0.7%,M:0.1%,n:3285"
