data,coverage,QV(genome),QV(chr2L),QV(chr2R),QV(chr3L),QV(chr3R),QV(chr4),QV(chrX),QV(chrY)
ONT R10.4.1 only,20,41.1,47.5,44.1,44.8,44.0,43.1,38.1,29.0
ONT R10.4.1 only,25,42.1,48.6,45.0,44.7,46.2,44.9,40.1,29.4
ONT R10.4.1 only,30,43.0,48.5,46.3,45.3,48.1,45.9,40.8,29.2
ONT R10.4.1 only,35,43.0,48.8,45.9,45.1,46.7,50.2,41.3,29.6
ONT R10.4.1 only,40,43.5,48.6,46.5,45.8,48.5,47.1,40.9,29.2
ONT R10.4.1 only,45,43.4,48.9,46.3,45.8,47.1,45.1,41.8,30.2
ONT R10.4.1 only,50,43.8,48.9,47.4,46.1,48.8,46.8,40.8,31.3
ONT R10.4.1 only,55,43.5,49.6,47.4,45.8,46.9,45.9,41.2,30.5
ONT R10.4.1 only,60,43.8,48.8,47.7,46.4,49.6,49.4,41.2,30.3
ONT R10.4.1 + Illumina,20,42.5,49.2,45.5,46.6,45.0,45.6,40.3,29.6
ONT R10.4.1 + Illumina,25,43.2,50.1,46.6,46.3,47.2,46.5,41.9,29.7
ONT R10.4.1 + Illumina,30,44.1,49.9,47.9,47.2,49.2,46.9,42.1,29.6
ONT R10.4.1 + Illumina,35,44.0,50.3,47.4,46.8,47.4,52.3,42.5,30.2
ONT R10.4.1 + Illumina,40,44.5,50.1,47.9,48.0,49.5,48.5,41.9,29.7
ONT R10.4.1 + Illumina,45,44.3,50.3,47.7,47.6,47.7,46.6,42.9,30.7
ONT R10.4.1 + Illumina,50,44.7,50.3,49.1,48.1,49.7,48.5,41.6,31.8
ONT R10.4.1 + Illumina,55,44.5,51.0,48.8,47.6,47.7,47.9,42.2,31.0
ONT R10.4.1 + Illumina,60,44.8,50.3,49.1,48.5,50.6,51.0,42.2,30.6
